0.896	0.769	1.325	0.793	0.916	1.749	1.197	1.121	1.699	0.754	1.652	1.728	1.048	0.498	0.694
0.783	1.603	1.517	0.589	0.527	1.595	2.429	1.923	1.168	1.176	1.507	1.379	1.148	1.049	0.779
2.532	2.324	1.160	0.129	0.474	1.959	3.272	3.427	2.676	2.141	2.195	2.252	1.875	1.439	1.790
2.181	1.229	0.274	0.371	1.770	3.010	2.767	1.933	2.093	3.047	3.571	3.208	2.131	1.300	1.985
0.672	0.535	0.251	1.477	3.727	3.532	1.199	1.633	1.316	1.876	3.779	3.306	1.498	0.449	1.178
1.895	1.330	0.559	2.842	4.552	2.113	3.886	8.529	7.313	2.311	2.290	3.168	1.319	0.097	0.311
1.563	0.796	0.924	3.675	3.434	2.574	10.901	16.992	15.094	6.640	1.395	3.011	1.848	0.367	0.412
0.718	0.716	1.845	3.608	2.059	4.897	15.231	21.352	18.654	8.805	1.510	2.813	2.244	1.019	0.338
2.072	2.053	2.595	2.809	1.137	5.423	13.483	17.697	14.823	6.356	1.296	2.892	2.278	1.385	0.508
1.287	2.232	2.748	1.979	0.684	3.575	7.276	8.680	6.317	1.996	2.394	3.307	2.085	0.970	0.331
0.653	1.637	2.673	2.200	1.045	0.885	1.267	1.311	0.948	2.155	4.111	3.502	1.565	0.355	0.270
0.890	0.959	2.141	2.530	2.469	1.998	1.755	1.518	1.715	2.806	3.343	2.254	0.616	0.375	0.425
0.320	0.631	1.259	1.780	2.156	2.145	2.106	1.677	1.223	1.335	1.115	0.462	0.631	1.349	1.009
0.170	0.522	1.093	1.274	1.071	0.991	1.176	0.841	0.343	0.295	0.083	0.316	0.946	1.464	1.606
0.245	0.229	1.178	1.754	0.846	0.171	0.267	0.151	0.266	0.970	0.958	0.401	1.442	1.785	0.715
