33.579	34.551	37.965	38.771	38.216	36.551	33.422	32.852	33.792	32.623	34.491	36.798	32.775	27.700	24.851
34.598	36.874	38.218	37.103	36.752	36.636	35.883	36.139	36.563	35.033	35.513	36.586	34.053	29.728	25.126
37.557	37.445	36.167	35.613	35.092	33.287	31.320	31.337	32.646	33.063	34.372	36.697	36.702	34.009	30.382
34.623	34.238	34.551	34.780	32.384	26.741	21.119	18.833	19.940	23.159	28.011	33.362	36.772	36.554	35.192
32.752	33.805	34.995	33.831	27.090	17.048	9.689	7.304	7.797	11.304	18.944	27.760	33.402	34.723	34.884
36.390	36.996	36.965	31.712	19.701	7.096	1.962	3.083	2.429	2.838	10.892	22.848	31.322	34.028	33.982
36.638	37.738	37.022	28.016	13.084	1.545	3.427	13.055	8.381	0.472	5.995	19.371	30.271	35.094	35.824
34.515	35.422	33.795	24.153	9.831	1.606	10.375	28.611	15.934	0.767	4.536	18.024	29.793	36.095	37.963
37.184	36.091	31.810	22.295	10.525	4.343	9.660	17.059	8.193	0.322	6.261	19.509	30.635	36.938	39.094
37.201	37.738	32.444	23.300	13.791	7.315	5.217	4.090	1.697	2.813	11.521	23.706	32.942	37.614	38.582
34.940	36.761	34.616	26.590	18.593	12.209	8.096	6.446	7.291	11.621	20.109	29.636	35.853	37.863	37.394
34.103	34.954	35.986	31.036	25.046	20.337	17.523	17.040	18.810	22.821	28.977	35.016	38.044	37.732	37.001
33.764	34.318	36.183	34.560	31.226	28.701	27.262	27.037	28.053	30.459	34.152	37.372	38.421	37.030	36.062
34.234	34.549	36.027	36.053	34.654	34.001	33.702	33.024	32.333	32.749	34.544	36.496	37.475	35.289	32.849
35.502	35.426	36.355	37.161	35.953	36.122	37.165	36.157	34.307	34.010	34.654	35.572	37.341	33.475	29.995
