-0.629	0.936	3.014	2.050	1.395	0.420	-3.072	-6.271	-2.566	2.199	-0.833	-6.018	-6.732	-3.938	-2.576
-3.448	-1.950	-1.730	-1.631	0.497	1.852	0.365	-1.399	0.170	2.237	1.519	-0.640	-1.040	0.876	1.027
-4.726	-3.141	-3.091	-2.559	0.742	3.109	3.176	2.351	2.221	2.994	4.316	4.579	3.583	3.484	2.759
-6.237	-3.835	-2.244	-1.114	2.683	4.793	4.481	3.239	2.595	3.619	5.192	5.177	3.307	2.808	3.651
-5.696	-3.455	-2.811	-2.780	1.234	4.479	6.062	5.989	4.162	3.454	4.135	3.464	0.749	0.397	4.019
-1.823	-1.107	-3.371	-5.716	-1.711	5.473	13.996	18.038	12.593	4.633	1.540	1.687	-0.382	-1.502	2.316
1.338	0.616	-3.396	-6.448	-1.638	10.456	27.053	36.477	27.894	10.258	-0.000	-0.648	-1.131	-1.242	2.258
3.728	2.070	-3.211	-6.822	-1.257	13.766	34.043	45.815	36.485	15.173	0.982	-1.976	-2.739	-1.994	1.775
4.054	3.860	-1.172	-5.424	-1.249	11.275	27.589	36.143	28.411	11.665	0.496	-1.521	-2.582	-3.507	-1.956
5.974	5.936	2.166	-1.093	0.306	6.418	14.897	18.588	14.005	5.108	0.140	0.240	-1.079	-3.210	-3.237
8.508	6.683	2.663	0.551	0.531	1.857	4.877	6.320	5.049	2.967	2.555	2.155	0.006	-1.060	0.609
7.645	6.521	2.213	-0.237	-0.662	-0.541	0.458	1.594	2.246	2.600	2.832	2.362	1.398	1.330	3.027
5.799	4.692	0.499	-2.096	-1.605	0.059	0.892	1.259	1.101	0.074	-0.016	2.298	3.606	3.111	3.167
4.631	1.647	-2.458	-3.619	-0.522	2.662	1.846	1.000	1.534	0.561	-0.528	1.842	3.541	3.407	3.880
7.171	1.919	-2.587	-1.932	3.671	6.757	1.803	-0.777	3.134	3.771	-0.898	-1.970	-0.050	1.880	3.920
