4	-8	24	-5	7	-5	2	-21	-10	21	-7	-11	-14	-5	-5
-12	4	-16	-3	1	13	2	-6	7	-3	5	-5	-9	15	2
-3	4	-7	-12	-3	-5	3	7	5	-2	6	20	4	7	2
-6	-12	15	-8	19	9	12	4	-4	11	0	10	1	6	-2
-17	-5	-2	-12	13	1	0	-9	5	0	14	0	-5	-4	18
8	1	9	-29	0	-4	11	30	-7	-1	1	11	3	-23	2
-10	7	-6	-11	1	0	35	53	42	0	-26	6	5	1	4
17	0	0	-13	-6	17	45	90	66	15	-2	1	-15	-6	12
-5	14	-7	-29	-5	2	36	54	28	10	-11	1	2	-13	0
-2	17	11	7	0	5	17	11	19	1	-19	10	-2	0	-16
24	1	-6	-2	7	-9	12	1	0	-11	11	8	-1	-11	12
-5	22	-6	2	-1	-3	-11	0	4	14	21	-6	-1	0	7
12	17	-1	3	-6	4	6	0	1	-5	-24	4	10	3	-2
-4	-5	-8	-15	-8	3	-2	12	-3	-3	0	20	8	2	8
15	3	-7	-1	4	29	-7	-14	9	21	-14	-8	-3	0	5